datum,Total sales,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Day,Weekday Number
2014-01-05,312.91999999999996,14.0,11.67,21.3,185.95,41.0,0.0,32.0,7.0,2014,1,5,7
2014-01-12,391.81,29.33,12.68,37.9,190.7,88.0,5.0,21.0,7.2,2014,1,12,7
2014-01-19,450.31,30.67,26.34,45.9,218.4,80.0,8.0,29.0,12.0,2014,1,19,7
2014-01-26,398.47,34.0,32.37,31.5,179.6,80.0,8.0,23.0,10.0,2014,1,26,7
2014-02-02,371.95,31.02,23.35,20.7,159.88,84.0,12.0,29.0,12.0,2014,2,2,7
2014-02-09,474.47,22.65,29.72,53.3,226.8,98.0,7.0,31.0,6.0,2014,2,9,7
2014-02-16,569.22,33.33,30.69,47.3,320.7,89.0,14.0,18.0,16.2,2014,2,16,7
2014-02-23,496.15999999999997,39.01,34.25,44.2,232.7,99.0,5.0,35.0,7.0,2014,2,23,7
2014-03-02,408.385,36.68,28.75,40.355,222.5,52.0,2.0,16.0,10.1,2014,3,2,7
2014-03-09,357.505,25.02,21.11,31.8,202.375,48.0,4.0,16.0,9.2,2014,3,9,7
2014-03-16,407.12,32.35,23.77,36.2,164.8,90.0,5.0,36.0,19.0,2014,3,16,7
2014-03-23,382.58000000000004,39.36,23.72,26.1,202.8,36.0,4.0,27.0,23.6,2014,3,23,7
2014-03-30,317.32,25.69,17.33,36.2,136.6,42.0,6.0,29.0,24.5,2014,3,30,7
2014-04-06,316.83,19.68,22.05,36.4,153.7,31.0,7.0,27.0,20.0,2014,4,6,7
2014-04-13,310.91,36.03,20.38,21.2,141.0,46.0,4.0,22.0,20.3,2014,4,13,7
2014-04-20,320.09,27.36,19.38,35.15,134.2,59.0,1.0,24.0,20.0,2014,4,20,7
2014-04-27,338.075,26.36,20.215,22.0,182.5,54.0,4.0,16.0,13.0,2014,4,27,7
2014-05-04,342.58,22.02,27.16,23.9,176.6,49.0,6.0,24.0,13.9,2014,5,4,7
2014-05-11,369.355,24.67,32.485,29.6,151.6,69.0,11.0,15.0,36.0,2014,5,11,7
2014-05-18,356.48,22.38,26.4,35.2,154.0,56.0,2.0,42.0,18.5,2014,5,18,7
2014-05-25,314.298,25.02,22.278,33.7,115.7,56.0,5.0,20.0,36.6,2014,5,25,7
2014-06-01,327.37,17.71,22.08,25.1,143.38,69.0,3.0,19.0,28.1,2014,6,1,7
2014-06-08,353.225,23.34,23.06,33.9,154.425,64.0,8.0,19.0,27.5,2014,6,8,7
2014-06-15,317.13,29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8,2014,6,15,7
2014-06-22,291.21,31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0,2014,6,22,7
2014-06-29,363.62,21.02,27.5,37.3,156.8,96.0,1.0,6.0,18.0,2014,6,29,7
2014-07-06,302.89,27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0,2014,7,6,7
2014-07-13,339.09,26.01,22.38,34.7,122.8,83.0,7.0,27.0,16.2,2014,7,13,7
2014-07-20,287.33,33.67,20.76,20.5,96.0,84.0,6.0,12.0,14.4,2014,7,20,7
2014-07-27,309.08,28.01,28.77,33.1,116.2,77.0,2.0,8.0,16.0,2014,7,27,7
2014-08-03,262.53,20.02,7.71,23.2,95.1,80.0,9.0,11.0,16.5,2014,8,3,7
2014-08-10,311.0,28.36,19.74,28.4,123.6,83.0,8.0,3.0,16.9,2014,8,10,7
2014-08-17,314.25,26.02,19.53,34.7,103.4,99.0,5.0,3.0,23.6,2014,8,17,7
2014-08-24,317.58500000000004,36.36,25.225,20.5,111.2,92.0,7.0,14.0,11.3,2014,8,24,7
2014-08-31,384.475,22.05,31.275,29.0,160.15,112.0,3.0,12.0,15.0,2014,8,31,7
2014-09-07,337.98900000000003,29.7,29.369,23.6,113.72,109.0,5.0,9.0,18.6,2014,9,7,7
2014-09-14,422.06,18.7,22.41,22.4,216.35,104.0,0.0,28.0,10.2,2014,9,14,7
2014-09-21,420.735,18.02,22.915,28.7,227.1,69.0,3.0,44.0,8.0,2014,9,21,7
2014-09-28,438.39,25.36,25.38,31.1,239.55,95.0,4.0,2.0,16.0,2014,9,28,7
2014-10-05,532.446,32.35,26.456,30.6,272.04,73.0,3.0,81.0,14.0,2014,10,5,7
2014-10-12,518.36,23.7,23.085,33.1,296.975,103.0,7.0,21.0,10.5,2014,10,12,7
2014-10-19,447.5596875,23.115,30.6103125,28.3375,223.621875,96.0625,4.625,28.0,13.1875,2014,10,19,7
2014-10-26,421.63,19.69,25.14,25.2,213.6,95.0,3.0,30.0,10.0,2014,10,26,7
2014-11-02,440.89,25.67,14.82,34.1,203.8,112.5,4.0,39.0,7.0,2014,11,2,7
2014-11-09,467.62,40.67,31.05,29.8,177.9,152.0,5.0,25.0,6.2,2014,11,9,7
2014-11-16,410.60999999999996,31.67,24.34,31.3,177.1,110.0,4.0,22.0,10.2,2014,11,16,7
2014-11-23,407.59,28.35,25.04,37.5,161.5,105.5,3.0,38.0,8.7,2014,11,23,7
2014-11-30,391.35,31.06,18.09,39.6,161.5,96.0,7.0,20.0,18.1,2014,11,30,7
2014-12-07,420.371,28.69,30.281,18.3,175.7,114.0,4.0,40.0,9.4,2014,12,7,7
2014-12-14,439.02,25.02,22.02,30.4,221.58,109.0,7.0,21.0,3.0,2014,12,14,7
2014-12-21,394.64,25.01,20.69,24.34,203.6,78.0,6.0,31.0,6.0,2014,12,21,7
2014-12-28,603.454,36.18,32.79,27.784,282.7,154.0,4.0,54.0,12.0,2014,12,28,7
2015-01-04,503.39000000000004,36.68,34.54,24.7,300.22,65.0,7.0,25.25,10.0,2015,1,4,7
2015-01-11,477.951,19.34,37.311,32.9,234.4,98.0,7.0,39.0,10.0,2015,1,11,7
2015-01-18,499.95,39.35,30.35,38.8,231.45,115.0,4.0,32.0,9.0,2015,1,18,7
2015-01-25,519.9780000000001,29.69,14.538,32.2,246.55,128.0,3.0,58.0,8.0,2015,1,25,7
2015-02-01,455.77,32.19,36.58,29.7,199.3,101.0,8.0,40.0,9.0,2015,2,1,7
2015-02-08,400.519,20.34,31.329,31.6,195.25,74.0,1.0,36.0,11.0,2015,2,8,7
2015-02-15,490.676,35.01,29.646,44.2,222.82,77.0,4.0,65.0,13.0,2015,2,15,7
2015-02-22,477.894,21.67,32.782,20.63,283.812,34.0,2.0,69.0,14.0,2015,2,22,7
2015-03-01,455.64599999999996,43.35,30.526,31.1,241.67,54.0,5.0,38.0,12.0,2015,3,1,7
2015-03-08,403.507,41.68,25.777,23.7,245.35,39.0,1.0,17.0,10.0,2015,3,8,7
2015-03-15,460.487,27.02,29.867,33.0,267.6,53.0,2.0,35.0,13.0,2015,3,15,7
2015-03-22,469.05,42.0,27.35,24.3,254.4,55.0,2.0,58.0,6.0,2015,3,22,7
2015-03-29,445.98199999999997,25.01,31.672,28.9,232.4,49.0,4.0,58.0,17.0,2015,3,29,7
2015-04-05,409.78700000000003,35.01,23.807,42.1,227.87,42.0,3.0,15.0,21.0,2015,4,5,7
2015-04-12,391.105,40.18,24.825,30.4,189.7,45.0,2.0,40.0,19.0,2015,4,12,7
2015-04-19,407.818,41.65,22.868,32.0,224.3,42.0,0.0,19.0,26.0,2015,4,19,7
2015-04-26,398.495,36.66,21.835,24.9,239.1,46.0,0.0,6.0,24.0,2015,4,26,7
2015-05-03,374.793,29.34,21.013,23.94,196.8,40.0,2.0,20.0,41.7,2015,5,3,7
2015-05-10,368.92900000000003,22.0,34.129,30.8,166.2,48.0,3.0,26.0,38.8,2015,5,10,7
2015-05-17,386.633,35.0,31.083,39.5,198.35,34.0,0.0,12.0,36.7,2015,5,17,7
2015-05-24,304.982,35.68,23.452,23.2,126.85,54.0,2.0,10.0,29.8,2015,5,24,7
2015-05-31,439.477,50.33,24.047,32.5,196.1,44.0,3.0,51.0,38.5,2015,5,31,7
2015-06-07,374.61,35.34,28.02,27.7,143.55,54.0,5.0,53.0,28.0,2015,6,7,7
2015-06-14,362.906,28.34,24.99,30.5,167.476,55.0,3.0,26.0,27.6,2015,6,14,7
2015-06-21,447.77,41.67,23.04,35.76,174.4,52.0,3.0,83.0,34.9,2015,6,21,7
2015-06-28,359.637,39.84,29.31,41.5,172.987,29.0,1.0,18.0,28.0,2015,6,28,7
2015-07-05,376.08,36.36,27.02,28.3,152.1,66.0,1.0,35.0,30.3,2015,7,5,7
2015-07-12,392.84000000000003,30.51,26.38,24.2,198.25,52.0,0.0,21.0,40.5,2015,7,12,7
2015-07-19,287.13,38.71,20.37,23.0,142.75,26.0,3.0,7.0,26.3,2015,7,19,7
2015-07-26,337.34,36.35,23.34,27.8,171.85,44.0,2.0,7.0,25.0,2015,7,26,7
2015-08-02,349.668,50.36,36.73,40.2,134.878,65.0,0.0,3.0,19.5,2015,8,2,7
2015-08-09,331.08,33.83,22.65,31.7,168.2,42.0,4.0,11.0,17.7,2015,8,9,7
2015-08-16,376.001,41.01,37.703,33.6,169.688,64.0,3.0,7.0,20.0,2015,8,16,7
2015-08-23,386.916,41.17,24.746,29.0,194.0,65.0,5.0,10.0,18.0,2015,8,23,7
2015-08-30,402.66,51.68,38.38,27.7,186.9,62.0,3.0,11.0,22.0,2015,8,30,7
2015-09-06,398.52,39.35,41.22,25.3,180.15,66.5,3.0,22.0,21.0,2015,9,6,7
2015-09-13,443.26199999999994,38.33,33.632,34.1,236.2,56.0,4.0,24.0,17.0,2015,9,13,7
2015-09-20,370.721,38.67,27.551,23.9,189.1,56.5,0.0,17.0,18.0,2015,9,20,7
2015-09-27,387.831,41.22,31.036,23.5,207.075,50.0,4.0,17.0,14.0,2015,9,27,7
2015-10-04,443.391,44.65,30.079,22.0,245.662,41.0,0.0,50.0,10.0,2015,10,4,7
2015-10-11,583.8109999999999,45.33,24.244,34.4,333.337,73.5,4.0,51.0,18.0,2015,10,11,7
2015-10-18,632.327,42.66,40.093,35.9,423.174,41.5,1.0,32.0,16.0,2015,10,18,7
2015-10-25,555.667,48.17,21.835,30.9,352.762,42.0,1.0,40.0,19.0,2015,10,25,7
2015-11-01,577.973,29.98,28.993,35.6,377.4,59.0,2.0,33.0,12.0,2015,11,1,7
2015-11-08,547.162,32.49,28.097,34.7,342.875,60.0,6.0,33.0,10.0,2015,11,8,7
2015-11-15,499.78,36.97,38.11,42.4,249.3,52.0,4.0,70.0,7.0,2015,11,15,7
2015-11-22,463.202,32.01,23.792,29.9,273.5,55.0,4.0,32.0,13.0,2015,11,22,7
2015-11-29,419.969,31.65,28.419,28.3,253.6,45.0,3.0,19.0,11.0,2015,11,29,7
2015-12-06,464.27,31.32,24.97,29.4,278.25,54.0,12.0,25.0,9.33,2015,12,6,7
2015-12-13,496.983,41.51,36.286,40.2,234.887,58.0,3.0,72.0,11.1,2015,12,13,7
2015-12-20,410.075,32.99,24.385,25.1,216.6,47.0,6.0,52.0,6.0,2015,12,20,7
2015-12-27,556.6999999999999,31.98,26.858,26.5,330.062,75.0,5.0,50.0,11.3,2015,12,27,7
2016-01-03,547.4169999999999,33.33,25.637,24.3,341.15,58.0,4.0,48.0,13.0,2016,1,3,7
2016-01-10,546.2860000000001,41.65,25.136,41.3,342.2,48.0,4.0,35.0,9.0,2016,1,10,7
2016-01-17,609.631,51.67,27.211,50.5,365.25,82.0,0.0,21.0,12.0,2016,1,17,7
2016-01-24,558.5550000000001,27.98,33.375,39.7,320.5,65.0,9.0,46.0,17.0,2016,1,24,7
2016-01-31,598.744,46.01,37.66,37.5,341.074,52.0,10.0,62.0,12.5,2016,1,31,7
2016-02-07,538.0409999999999,51.66,38.957,34.6,321.824,39.0,5.0,37.0,10.0,2016,2,7,7
2016-02-14,570.1610000000001,33.83,36.618,37.1,294.613,71.0,3.0,78.0,16.0,2016,2,14,7
2016-02-21,490.662,38.67,23.442,24.6,272.95,52.0,7.0,60.0,12.0,2016,2,21,7
2016-02-28,551.6759999999999,42.65,30.851,33.9,289.275,64.0,5.0,67.0,19.0,2016,2,28,7
2016-03-06,514.842,38.16,38.082,33.8,298.8,55.0,4.0,28.0,19.0,2016,3,6,7
2016-03-13,471.84,28.83,44.87,25.1,255.7,41.0,2.0,62.0,12.34,2016,3,13,7
2016-03-20,545.954,42.64,48.752,32.9,244.662,67.0,3.0,81.0,26.0,2016,3,20,7
2016-03-27,544.903,35.5,26.515,45.4,283.488,72.0,4.0,52.0,26.0,2016,3,27,7
2016-04-03,525.6659999999999,38.18,27.436,30.2,270.45,41.0,0.0,74.0,44.4,2016,4,3,7
2016-04-10,459.404,47.66,41.244,28.25,200.65,35.0,6.0,60.0,40.6,2016,4,10,7
2016-04-17,520.5353333300001,27.66,32.917,31.5,255.225,80.33333333,3.0,50.0,39.9,2016,4,17,7
2016-04-24,401.28400000000005,32.98,26.154,36.2,177.15,54.0,8.0,40.0,26.8,2016,4,24,7
2016-05-01,480.1736667,38.64,33.805,36.75,209.112,109.6666667,1.0,25.0,26.2,2016,5,1,7
2016-05-08,447.82,35.32,35.0,21.0,257.5,54.0,4.0,9.0,32.0,2016,5,8,7
2016-05-15,433.13,34.34,31.64,33.75,220.9,56.0,1.0,35.0,20.5,2016,5,15,7
2016-05-22,474.44199999999995,28.68,27.962,33.6,240.0,61.0,3.0,46.0,34.2,2016,5,22,7
2016-05-29,491.936,59.68,19.906,34.6,228.35,78.0,10.0,21.0,40.4,2016,5,29,7
2016-06-05,359.829,41.67,22.859,22.25,154.05,50.0,3.0,35.0,31.0,2016,6,5,7
2016-06-12,471.155,55.99,26.003,25.0,228.962,58.0,3.0,36.0,38.2,2016,6,12,7
2016-06-19,413.891,28.67,30.571,28.25,185.4,60.0,2.0,42.0,37.0,2016,6,19,7
2016-06-26,374.21000000000004,34.35,25.572,32.65,163.038,71.0,0.0,22.0,25.6,2016,6,26,7
2016-07-03,388.876,33.66,27.616,34.1,147.0,61.5,12.0,45.0,28.0,2016,7,3,7
2016-07-10,370.152,41.34,41.462,27.05,152.0,64.0,5.0,15.0,24.3,2016,7,10,7
2016-07-17,353.17333333,41.89833333,32.483,25.0,150.262,50.0,0.0,21.0,32.53,2016,7,17,7
2016-07-24,325.49699999999996,39.65,25.947,38.3,147.6,42.0,0.0,10.0,22.0,2016,7,24,7
2016-07-31,377.28,56.31,29.82,30.65,134.5,70.0,3.0,30.0,23.0,2016,7,31,7
2016-08-07,469.096,53.99,25.306,32.4,162.6,111.5,1.0,62.0,20.3,2016,8,7,7
2016-08-14,414.9106667,53.34,34.554,35.1,170.9166667,84.0,5.0,13.0,19.0,2016,8,14,7
2016-08-21,345.53999999999996,43.98,23.31,27.0,162.75,45.0,4.0,17.0,22.5,2016,8,21,7
2016-08-28,300.7646667,40.16,23.388,29.2,143.8166667,24.0,2.0,21.0,17.2,2016,8,28,7
2016-09-04,359.17800000000005,47.66,23.918,25.5,172.8,53.0,0.0,16.0,20.3,2016,9,4,7
2016-09-11,477.2,32.63,33.196,30.35,255.024,72.0,8.0,26.0,20.0,2016,9,11,7
2016-09-18,460.332,37.66,34.522,20.9,225.15,93.0,0.0,37.0,12.1,2016,9,18,7
2016-09-25,463.322,33.67,27.927,25.5,264.225,67.0,5.0,29.0,11.0,2016,9,25,7
2016-10-02,612.3960000000001,65.33,26.178,34.35,382.338,44.0,5.0,38.0,17.2,2016,10,2,7
2016-10-09,613.494,36.35,31.957,35.5,418.187,30.0,2.0,46.0,13.5,2016,10,9,7
2016-10-16,666.6003333,41.65,29.267,38.2,347.35,134.8333333,3.0,59.0,13.3,2016,10,16,7
2016-10-23,506.3276667,38.96,34.651,32.8,293.8166667,41.0,3.0,47.0,15.1,2016,10,23,7
2016-10-30,568.215,42.81,30.655,39.75,346.0,68.0,3.0,29.0,9.0,2016,10,30,7
2016-11-06,462.19566667,34.98666667,21.959,26.5,256.55,54.0,3.0,42.0,23.2,2016,11,6,7
2016-11-13,496.16666667,46.33,33.97,37.3,260.8,67.16666667,4.0,36.0,10.6,2016,11,13,7
2016-11-20,436.941,37.66,22.319,32.75,252.812,50.0,9.0,22.0,10.4,2016,11,20,7
2016-11-27,457.493,37.02,32.399,30.95,243.124,45.0,9.0,48.0,12.0,2016,11,27,7
